Itemcode,Barcode,ItemName,Unit,PhysicalCount,Converted,Region,CountingTime
100410,8936114080022,COOL AIR Gum Bac Ha 58.4g/1 Hu,HU,3,1,Display,20210329122600
100587,8936114080084,WRIGLEY'S DOUBLEMINT Gum Bac Ha 58.8g/1 Hu,HU,3,1,Display,20210329122601
100642,8997018484217,WRIGLEY'S DOUBLEMINT Keo Ngam Bac Ha Cam 23.8g/1 Hop,HOP,8,1,Display,20210329122614
100654,8857122621376,WRIGLEY'S DOUBLEMINT Keo Ngam Chanh 23.8g/1 Hop,HOP,8,1,Display,20210329122616
100666,8997018480769,WRIGLEY'S DOUBLEMINT Keo Ngam Bac Ha 23.8g/1 Hop,HOP,8,1,Display,20210329122612
100678,8997018480790,WRIGLEY'S DOUBLEMINT Keo Ngam Bac Ha Luc 23.8g/1 Hop,HOP,8,1,Display,20210329122617
101232,8935001703648,HAPPYDENT WHITE Gum Bac Ha 60g/1 Hu,HU,3,1,Display,20210329122605
101385,8691216090446,HARIBO Keo Deo Cola 80g/1 Goi,GOI,15,1,Display,20210329122829
101593,6942836704421,HERSHEY'S So Co La Kisses Den Hanh Nhan 56g/1 Thanh,THANH,10,1,Display,20210329123009
101799,6942836702403,HERSHEY'S So Co La Sua Hanh Nhan 40g/1 Thanh,THANH,15,1,Display,20210329123000
101799,6942836702403,HERSHEY'S So Co La Sua Hanh Nhan 40g/1 Thanh,THANH,15,1,Display,20210329123002
101907,95506500,KITKAT So Co La Banh Xop 17g/1 Thanh,THANH,15,1,Display,20210329122936
101919,9556001027252,KITKAT So Co La Banh Xop 35g/1 Thanh,THANH,15,1,Display,20210329122920
101921,9556001198839,KITKAT So Co La Chunky Banh Xop 38g/1 Thanh,THANH,7,1,Display,20210329122940
101933,9556001029362,KITKAT So Co La Banh Xop Vien 40g/1 Goi,GOI,5,1,Display,20210329122946
102327,8934677000334,LOTTE XYLITOL Gum Viet Quat 58g/1 Hu,HU,4,1,Display,20210329122547
102341,8934677013310,LOTTE XYLITOL Gum Chanh Bac Ha 26.1g/1 Tuyp,TUYP,12,1,Display,20210329122542
102353,8934677000341,LOTTE XYLITOL Gum Chanh Bac Ha 58g/1 Hu,HU,4,1,Display,20210329122556
102377,8934677000457,LOTTE XYLITOL Gum Dau Bac Ha 58g/1 Hu,HU,3,1,Display,20210329122545
102389,8934677000372,LOTTE XYLITOL Gum Bac Ha 58g/1 Hu,HU,4,1,Display,20210329122548
102406,8934677013211,LOTTE XYLITOL Gum Viet Quat 26.1g/1 Tuyp,TUYP,5,1,Display,20210329122535
103058,69024894,SNICKERS So Co La 35g/1 Thanh,THANH,8,1,Display,20210329123012
103060,6914973600362,SNICKERS So Co La 51g/1 Thanh,THANH,10,1,Display,20210329123016
103498,012546011112,TRIDENT Gum Trai Cay Nhiet Doi 26.6g/1 Thanh,THANH,1,1,Display,20210329130249
104038,8934588063176,AQUAFINA Nuoc Suoi Tinh Khiet 5L/1 Chai,CHAI,6,1,Backroom,20210329133558
104038,8934588063176,AQUAFINA Nuoc Suoi Tinh Khiet 5L/1 Chai,CHAI,1,1,Backroom,20210329134150
104040,8934588063060,AQUAFINA Nuoc Suoi Tinh Khiet 1.5L/1 Chai,CHAI,7,1,Backroom,20210329134135
104064,8934588063053,AQUAFINA Nuoc Suoi Tinh Khiet 500ml/1 Chai,CHAI,30,1,Display,20210329132101
104064,8934588063053,AQUAFINA Nuoc Suoi Tinh Khiet 500ml/1 Chai,CHAI,20,1,Backroom,20210329134028
104193,8934564600173,C2 Tra Xanh Tao 360ml/1 Chai,CHAI,12,1,Backroom,20210329134102
104284,8935049510673,COCA COLA Nuoc Ngot Co Ga 390ml/1 Chai,CHAI,17,1,Backroom,20210329134039
104313,8935049510857,DASANI Nuoc Suoi Tinh Khiet 1.5L/1 Chai,CHAI,12,1,Display,20210329132158
104313,8935049510857,DASANI Nuoc Suoi Tinh Khiet 1.5L/1 Chai,CHAI,8,1,Backroom,20210329134139
104325,8935049510840,DASANI Nuoc Suoi Tinh Khiet 500ml/1 Chai,CHAI,21,1,Display,20210329132102
104519,8935001282303,ICE+ Nuoc Vi Cam Chanh 490ml/1 Chai,CHAI,12,1,Display,20210329132019
104519,8935001282303,ICE+ Nuoc Vi Cam Chanh 490ml/1 Chai,CHAI,8,1,Backroom,20210329134033
104521,8935001282310,ICE+ Nuoc Vi Dao 500ml/1 Chai,CHAI,17,1,Display,20210329132013
104521,8935001282310,ICE+ Nuoc Vi Dao 500ml/1 Chai,CHAI,5,1,Backroom,20210329134020
104533,8935001282327,ICE+ Nuoc Vi Nho Xanh 490ml/1 Chai,CHAI,5,1,Display,20210329132020
104533,8935001282327,ICE+ Nuoc Vi Nho Xanh 490ml/1 Chai,CHAI,15,1,Backroom,20210329134018
104571,8857099003755,KOKOZO Nuoc Dau Co Thach 320ml/1 Chai,CHAI,22,1,Display,20210329131914
104583,8857099003885,KOKOZO Nuoc Dua Gang Co Thach 320ml/1 Chai,CHAI,6,1,Display,20210329131921
104612,8935001282280,LATTE Nuoc Trai Cay Sua Vi Dao 345ml/1 Chai,CHAI,8,1,Display,20210329131952
104624,8935001282297,LATTE Nuoc Trai Cay Sua Vi Dau 345ml/1 Chai,CHAI,5,1,Display,20210329131950
104636,8935001282266,LATTE Tra Sua 345ml/1 Chai,CHAI,5,1,Display,20210329131645
104648,8935005801012,LAVIE Nuoc Khoang 1.5L/1 Chai,CHAI,11,1,Display,20210329132156
104662,8935005801135,LAVIE Nuoc Khoang 500ml/1 Chai,CHAI,18,1,Display,20210329132105
104662,8935005801135,LAVIE Nuoc Khoang 500ml/1 Chai,CHAI,7,1,Display,20210329132135
104662,8935005801135,LAVIE Nuoc Khoang 500ml/1 Chai,CHAI,20,1,Backroom,20210329134026
104674,8935005801043,LAVIE Nuoc Khoang 6L/1 Chai,CHAI,5,1,Display,20210329132320
104777,8934588223051,LIPTON Tra Den Chanh 455ml/1 Chai,CHAI,18,1,Display,20210329131859
104777,8934588223051,LIPTON Tra Den Chanh 455ml/1 Chai,CHAI,20,1,Backroom,20210329134056
104923,8936122200016,MR.BROWN Ca Phe Blue 240ml/1 Lon,LON,6,1,Display,20210329123241
104923,8936122200016,MR.BROWN Ca Phe Blue 240ml/1 Lon,LON,9,1,Display,20210329131702
105044,8935049510789,NUTRI BOOST Sua Cam 297ml/1 Chai,CHAI,12,1,Display,20210329131933
105056,8935049510796,NUTRI BOOST Sua Dau 297ml/1 Chai,CHAI,20,1,Display,20210329131936
105070,8934588013065,PEPSI Nuoc Ngot Huong Cola 1.5L/1 Chai,CHAI,5,1,Display,20210329131735
105135,8997035600638,POCARI SWEAT Nuoc Uong Bo Sung I-on 500ml/1 Chai,CHAI,21,1,Backroom,20210329134145
105135,8997035600638,POCARI SWEAT Nuoc Uong Bo Sung I-on 500ml/1 Chai,CHAI,12,1,Backroom,20210329134242
105240,8888196172211,POKKA Tra Dao 500ml/1 Chai,CHAI,14,1,Display,20210329131902
105290,8888196170712,POKKA Tra O Long 500ml/1 Chai,CHAI,20,1,Backroom,20210329134014
105331,8935112200005,RED BULL Nuoc Tang Luc 250ml/1 Lon,LON,20,1,Display,20210329131558
105563,8934588233074,STING Nuoc Tang Luc Dau 330ml/1 Chai,CHAI,13,1,Display,20210329131610
105587,8934588173073,STING Nuoc Tang Luc Nhan Sam 330ml/1 Chai,CHAI,12,1,Display,20210329132326
105642,8935049510727,TEPPY Nuoc Ep Cam 1L/1 Chai,CHAI,7,1,Display,20210329132055
105642,8935049510727,TEPPY Nuoc Ep Cam 1L/1 Chai,CHAI,7,1,Display,20210329132322
105783,8934588193057,TWISTER Nuoc Ep Cam 455ml/1 Chai,CHAI,12,1,Display,20210329131945
105874,8934840000130,VINH HAO Nuoc Khoang 500ml/1 Chai,CHAI,8,1,Display,20210329132139
105874,8934840000130,VINH HAO Nuoc Khoang 500ml/1 Chai,CHAI,20,1,Backroom,20210329134023
106012,8935001212522,WONDERFARM Nuoc Yen 240ml/1 Lon,LON,8,1,Display,20210329131825
106062,8935001214236,WONDERFARM Tra Bi Dao 310ml/1 Lon,LON,2,1,Display,20210329131658
106153,8801382132394,WOONGJIN Tra Rau Bap 500ml/1 Chai,CHAI,12,1,Display,20210329131900
106191,8935012413338,333 Bia 330ml/1 Lon,LON,5,1,Display,20210329131231
106191,8935012413338,333 Bia 330ml/1 Lon,LON,15,1,Backroom,20210329133411
106191,8935012413338,333 Bia 330ml/1 Lon,LON,7,1,Backroom,20210329133722
106244,8934822901332,LARUE Bia 330ml/1 Lon,LON,9,1,Display,20210329131352
106385,7501064191404,CORONA Bia 355ml/1 Chai,CHAI,6,1,Display,20210329131445
106440,8934822201333,HEINEKEN Bia 330ml/1 Lon,LON,30,1,Display,20210329131142
106440,8934822201333,HEINEKEN Bia 330ml/1 Lon,LON,1,1,Backroom,20210329133412
106505,8935012423559,SAIGON Bia Export 355ml/1 Chai,CHAI,9,1,Display,20210329131454
106622,8934822102333,TIGER Bia 330ml/1 Chai,CHAI,8,1,Display,20210329131451
106634,8934822101336,TIGER Bia 330ml/1 Lon,LON,30,1,Display,20210329131139
106634,8934822101336,TIGER Bia 330ml/1 Lon,LON,20,1,Backroom,20210329133419
106646,8934822802332,TIGER Bia Crystal 330ml/1 Chai,CHAI,7,1,Display,20210329131447
106660,8936036200065,ZOROK Bia 330ml/1 Lon,LON,8,1,Display,20210329131235
106672,8936036200195,ZOROK Bia Lager 500ml/1 Lon,LON,15,1,Backroom,20210329133400
107743,8801104122528,ENCHO BAR Kem So Co La 85ml/ 1 Que,QUE,12,1,Display,20210329132300
107781,8801104170116,ICE SANDWICH Kem Vani So Co La 150ml/1 Goi,GOI,10,1,Display,20210329132304
107810,8801104900034,MELONA Kem Dau 80ml/1 Que,QUE,12,1,Display,20210329132308
108230,074570002023,HAAGEN DAZS Kem Vani 100ml/1 Hop,HOP,5,1,Display,20210329132301
108656,8851932030618,WALL'S Kem So Co La 55g/1 Hop,HOP,20,1,Display,20210329132400
109026,8851932080149,TOP TEN Kem Vani 57g/1 Que,QUE,10,1,Display,20210329132329
109193,8935004401282,555 Thuoc La Gold 20 Dieu/1 Goi,GOI,10,1,Display,20210329133054
109258,8935004401190,555 Thuoc La Bac 90 20 Dieu/1 Goi,GOI,10,1,Display,20210329133052
109349,89301388,MARLBORO Thuoc La Den Vi Bac Ha 20 Dieu/1 Goi,GOI,10,1,Display,20210329133118
109351,89302972,MARLBORO Thuoc La Gold 20 Dieu/1 Goi,GOI,5,1,Display,20210329133115
109545,8857107232016,TAOKAENOI BIG SHEET Rong Bien Vi Truyen Thong 3.2g/1 Goi,GOI,20,1,Display,20210329131047
109583,8859559600931,CHA CHEER Hat Huong Duong Ngu Vi 130G/ Goi,GOI,5,1,Display,20210329131010
109600,8859559600962,CHA CHEER Hat Huong Duong Vi Dua 130G/1 Goi,GOI,10,1,Display,20210329131013
109648,6924187839977,CHA CHEER Hat Huong Duong Dua 40g/ Goi,GOI,5,1,Display,20210329131018
109648,6924187839977,CHA CHEER Hat Huong Duong Dua 40g/ Goi,GOI,5,1,Display,20210329131020
109703,8936007460429,DAMEX Ca Com Say Gion 35g/1 Goi,GOI,5,1,Display,20210329130731
109741,8936007460061,DAMEX Muc Nuong Xe Tam 80g/1 Goi,GOI,8,1,Display,20210329130819
109911,8850157511452,DORKBUA Banh Que Thit Nuong 25g/1 Goi,GOI,5,1,Display,20210329130337
109923,8850157511650,DORKBUA Banh Que Tom  25g/1 Goi,GOI,10,1,Display,20210329130335
109935,8850157500371,DORKBUA Banh Que Tom  55g/1 Goi,GOI,10,1,Display,20210329130331
109973,8938502623408,FARMER PACK Dau Phong Say 100g/1 Goi,GOI,3,1,Display,20210329130957
110116,8858702402194,TAOKAENOI HI TEMPURA Rong Bien Vi Cay 25g/1 Goi,GOI,7,1,Display,20210329131053
110594,8934831155009,NHABEXIMS Mit Say 100g/1 Goi,GOI,5,1,Display,20210329131106
110752,8934803043129,OISHI Snack Pho Mat Mieng 40g/1 Goi,GOI,6,1,Display,20210329130447
110776,8934803044270,OISHI Snack Tom Cay Dac Biet 40g/1 Goi,GOI,3,1,Display,20210329130423
110788,8934803043785,OISHI Snack Hanh 40g/1 Goi,GOI,3,1,Display,20210329130450
110790,8934803043075,OISHI Snack Bap Ngot 40g/1 Goi,GOI,3,1,Display,20210329130400
110855,8934803043884,OISHI Snack Bi Do Bo Nuong 40g/1 Goi,GOI,3,1,Display,20210329130442
110946,8936096670013,ONE ONE Banh Gao Vi Ngot 150g/1 Goi,GOI,3,1,Display,20210329130505
111043,8936036021646,O'STAR Khoai Tay Chien Vi Rong Bien 63g/1 Goi,GOI,4,1,Display,20210329130657
111172,8934803044171,PILLOWS Snack Nhan Sua Dua 100g/1 Goi,GOI,10,1,Display,20210329130549
111184,8934803043891,PILLOWS Snack Nhan SoCoLa 100g/1 Goi,GOI,7,1,Display,20210329130546
111940,8886467100017,PRINGLES Khoai Tay Chien Tu Nhien 107g/1 Tuyp,TUYP,4,1,Display,20210329130648
112035,8886467100024,PRINGLES Khoai Tay Chien Vi Kem & Hanh 107g/1 Tuyp,TUYP,3,1,Display,20210329130629
112279,8934680011204,SLIDE Potato Chips BBQ 160g/1 Tuyp,TUYP,3,1,Display,20210329130637
112281,8934680011488,SLIDE Potato Chips BBQ 75g/1 Tuyp,TUYP,4,1,Display,20210329130635
112504,8936036021660,SWING Khoai Tay Chien Vi Bo Bit Tet 63g/1 Goi,GOI,3,1,Display,20210329130700
112566,020916054119,TAISUN Hat De California 40g/1 Goi,GOI,5,1,Display,20210329131022
112798,8857107231040,TAOKAENOI Rong Bien Vi Truyen Thong 15g/1 Goi,GOI,2,1,Display,20210329131051
113120,8934743042909,VINAMIT Mit Say 100g/1 Goi,GOI,5,1,Display,20210329131104
113261,8934680025966,AFC Banh Quy Dinh Duong Vi Rau Cai  100g/1 Hop,HOP,3,1,Display,20210329122415
113285,8934680025959,AFC Banh Quy Dinh Duong Vi Lua Mi 100g/1 Hop,HOP,3,1,Display,20210329122418
113493,8936036020403,CHOCO-PIE Banh Phu So Co La  2 Goi 66g/1 Hop,HOP,9,1,Display,20210329122405
113508,8936036020373,CHOCO-PIE Banh Phu So Co La  6 Goi 198g/1 Hop,HOP,3,1,Display,20210329122438
113558,8934564300233,CREAM-O Banh Quy Kem Vani  93g/1 Goi,GOI,5,1,Display,20210329122235
113558,8934564300233,CREAM-O Banh Quy Kem Vani  93g/1 Goi,GOI,5,1,Display,20210329122237
113584,8936036020274,CUSTAS Banh Bong Lan Kem Trung 2 Goi 46g/1 Hop,HOP,6,1,Display,20210329122401
113596,8936036020120,CUSTAS Banh Bong  Lan Kem Trung 6 Goi 138g/1 Hop,HOP,3,1,Display,20210329122441
114124,8934680040136,KINH DO Banh Mi Sua 100g/1 Goi,GOI,10,1,Display,20210329121911
114265,8852008300116,KOALA'S MARCH Banh Gau Vi So Co La  37g/1 Hop,HOP,2,1,Display,20210329122318
114368,8994504124312,LUCKY Banh Que Kem So Co La 45g/1 Goi,HOP,2,1,Display,20210329122259
114382,8936036021172,MARINE BOY Banh Ca Vi Rong Bien 35g/1 Hop,HOP,5,1,Display,20210329122312
114502,7622300136055,OREO Banh Quy Kem Dau 133g/1 Goi,GOI,10,1,Display,20210329122153
114514,8992760221028,OREO Banh Quy Kem Vani 133g/1 Goi,GOI,5,1,Display,20210329122148
114540,8992760223015,OREO Banh Quy Kem So Co La  133g/1 Goi,GOI,5,1,Display,20210329122151
114851,8992760211029,RITZ Banh Quy Gion 100g/1 Goi,GOI,10,1,Display,20210329122240
114916,8850332241402,ROSY Banh Kem Quy Pho Mai 100g/1 Goi,GOI,7,1,Display,20210329122246
114942,8934680042581,KINH DO Banh Mi Socola 55g/1 Goi,GOI,5,1,Display,20210329122007
114954,8934680042567,KINH DO Banh Mi Bo Sua 55g/1 Goi,GOI,5,1,Display,20210329121900
115831,8934637212531,CHOLIMEX Tuong Ca 270g/1 Chai,CHAI,5,1,Display,20210329124152
