Itemcode,Barcode,ItemName,Unit,PhysicalCount,Converted,Region,CountingTime
100276,MN080201,CHUPA CHUPS Keo Mut 10g/1 Que,QUE,100,1,Display,20210329163618
104064,8934588063053,AQUAFINA Nuoc Suoi Tinh Khiet 500ml/1 Chai,CHAI,15,1,Display,20210329160845
104284,8935049510673,COCA COLA Nuoc Ngot Co Ga 390ml/1 Chai,CHAI,5,1,Display,20210329160905
104325,8935049510840,DASANI Nuoc Suoi Tinh Khiet 500ml/1 Chai,CHAI,15,1,Display,20210329160842
104507,8936079140014,HIGHLANDS Ca Phe Sua Da 235ml /1 Lon,LON,17,1,Backroom,20210329161157
104662,8935005801135,LAVIE Nuoc Khoang 500ml/1 Chai,CHAI,15,1,Display,20210329160900
104777,8934588223051,LIPTON Tra Den Chanh 455ml/1 Chai,CHAI,1000,1,Display,20210329160924
105135,8997035600638,POCARI SWEAT Nuoc Uong Bo Sung I-on 500ml/1 Chai,CHAI,10,1,Display,20210329160742
105290,8888196170712,POKKA Tra O Long 500ml/1 Chai,CHAI,10,1,Display,20210329160730
105642,8935049510727,TEPPY Nuoc Ep Cam 1L/1 Chai,CHAI,5,1,Display,20210329160953
106012,8935001212522,WONDERFARM Nuoc Yen 240ml/1 Lon,LON,5,1,Backroom,20210329161159
106244,8934822901332,LARUE Bia 330ml/1 Lon,LON,5,1,Backroom,20210329161216
106672,8936036200195,ZOROK Bia Lager 500ml/1 Lon,LON,5,1,Display,20210329163222
107743,8801104122528,ENCHO BAR Kem So Co La 85ml/ 1 Que,QUE,5,1,Display,20210329163516
107779,8801104190718,ICE SANDWICH Kem Dau Do 150ml/1 Goi,GOI,10,1,Display,20210329163522
107793,8801104122504,MELONA Kem Dua Luoi 80ml/1 Que,QUE,10,1,Display,20210329163514
108034,8851932115896,CORNETTO Kem Dau Hanh Nhan 88g/1 Cay,CAY,10,1,Display,20210329163500
108199,3415581139181,HAAGEN DAZS Kem Hat Macadamia 100ml/1 Hop,HOP,5,1,Display,20210329163508
109026,8851932080149,TOP TEN Kem Vani 57g/1 Que,QUE,10,1,Display,20210329163442
109193,8935004401282,555 Thuoc La Gold 20 Dieu/1 Goi,GOI,5,1,Display,20210329155717
