Itemcode,Barcode,ItemName,Unit,PhysicalCount,Converted,Region,CountingTime
100226,8.94E+12,CHOCO ROCK So Co La Vien Da 65g/1 Goi,GOI,13,1,Display,2.02104E+13
100238,8.94E+12,CHOCO ROCK So Co La Hanh Nhan 65g/1 Goi,GOI,12,1,Display,2.02104E+13
100410,8.94E+12,COOL AIR Gum Bac Ha 58.4g/1 Hu,HU,7,1,Display,2.02104E+13
100587,8.94E+12,WRIGLEY'S DOUBLEMINT Gum Bac Ha 58.8g/1 Hu,HU,5,1,Display,2.02104E+13
100642,9.00E+12,WRIGLEY'S DOUBLEMINT Keo Ngam Bac Ha Cam 23.8g/1 Hop,HOP,7,1,Display,2.02104E+13
100654,8.86E+12,WRIGLEY'S DOUBLEMINT Keo Ngam Chanh 23.8g/1 Hop,HOP,3,1,Display,2.02104E+13
100678,9.00E+12,WRIGLEY'S DOUBLEMINT Keo Ngam Bac Ha Luc 23.8g/1 Hop,HOP,9,1,Display,2.02104E+13
100678,9.00E+12,WRIGLEY'S DOUBLEMINT Keo Ngam Bac Ha Luc 23.8g/1 Hop,HOP,4,1,Display,2.02104E+13
101323,8.69E+12,HARIBO Keo Deo Gau 80g/1 Goi,GOI,12,1,Display,2.02104E+13
101385,8.69E+12,HARIBO Keo Deo Cola 80g/1 Goi,GOI,12,1,Display,2.02104E+13
101593,6.94E+12,HERSHEY'S So Co La Kisses Den Hanh Nhan 56g/1 Thanh,THANH,13,1,Display,2.02104E+13
101799,6.94E+12,HERSHEY'S So Co La Sua Hanh Nhan 40g/1 Thanh,THANH,24,1,Display,2.02104E+13
101907,95506500,KITKAT So Co La Banh Xop 17g/1 Thanh,THANH,26,1,Display,2.02104E+13
101919,9.56E+12,KITKAT So Co La Banh Xop 35g/1 Thanh,THANH,10,1,Display,2.02104E+13
101921,9.56E+12,KITKAT So Co La Chunky Banh Xop 38g/1 Thanh,THANH,2,1,Display,2.02104E+13
101933,9.56E+12,KITKAT So Co La Banh Xop Vien 40g/1 Goi,GOI,4,1,Display,2.02104E+13
102327,8.93E+12,LOTTE XYLITOL Gum Viet Quat 58g/1 Hu,HU,4,1,Display,2.02104E+13
102327,8.93E+12,LOTTE XYLITOL Gum Viet Quat 58g/1 Hu,HU,1,1,Display,2.02104E+13
102341,8.93E+12,LOTTE XYLITOL Gum Chanh Bac Ha 26.1g/1 Tuyp,TUYP,9,1,Display,2.02104E+13
102353,8.93E+12,LOTTE XYLITOL Gum Chanh Bac Ha 58g/1 Hu,HU,6,1,Display,2.02104E+13
102377,8.93E+12,LOTTE XYLITOL Gum Dau Bac Ha 58g/1 Hu,HU,3,1,Display,2.02104E+13
102389,8.93E+12,LOTTE XYLITOL Gum Bac Ha 58g/1 Hu,HU,4,1,Display,2.02104E+13
102406,8.93E+12,LOTTE XYLITOL Gum Viet Quat 26.1g/1 Tuyp,TUYP,3,1,Display,2.02104E+13
102432,9.30E+12,M&M So Co La Sua Dau Phong 90g/1 Goi,GOI,13,1,Display,2.02104E+13
102468,9.30E+12,M&M So Co La Sua 90g/1 Goi,GOI,10,1,Display,2.02104E+13
103058,69024894,SNICKERS So Co La 35g/1 Thanh,THANH,17,1,Display,2.02104E+13
103060,6.91E+12,SNICKERS So Co La 51g/1 Thanh,THANH,12,1,Display,2.02104E+13
104507,8.94E+12,HIGHLANDS Ca Phe Sua Da 235ml /1 Lon,LON,5,1,Backroom,2.02104E+13
104753,8.94E+12,LIPOVITAN Nuoc Tang Luc Mat Ong 250ml/1 Lon,LON,24,1,Backroom,2.02104E+13
104753,8.94E+12,LIPOVITAN Nuoc Tang Luc Mat Ong 250ml/1 Lon,LON,1,1,Backroom,2.02104E+13
104923,8.94E+12,MR.BROWN Ca Phe Xanh 240ml/1 Lon,LON,12,1,Backroom,2.02104E+13
105044,8.94E+12,NUTRI BOOST Sua Cam 297ml/1 Chai,CHAI,6,1,Display,2.02104E+13
105056,8.94E+12,NUTRI BOOST Sua Dau 297ml/1 Chai,CHAI,3,1,Display,2.02104E+13
106012,8.94E+12,WONDERFARM Nuoc Yen 240ml/1 Lon,LON,17,1,Backroom,2.02104E+13
106062,8.94E+12,WONDERFARM Tra Bi Dao 310ml/1 Lon,LON,12,1,Backroom,2.02104E+13
106165,9.56E+12,YEOS Nuoc Suong Sao 300ml/1 Lon,LON,2,1,Backroom,2.02104E+13
106191,8.94E+12,333 Bia 330ml/1 Lon,LON,17,1,Backroom,2.02104E+13
106244,8.93E+12,LARUE Bia 330ml/1 Lon,LON,24,1,Backroom,2.02104E+13
