Itemcode,Barcode,ItemName,Unit,PhysicalCount,Converted,badqty,Region,CountingTime,
166432,8935217413003,TH TRUE MILK Sua Chua Co Duong 100g*1BO,HOP,102,1,,Display,20210114194759,
107731,8801104123167,CAF? AULAIT Kem Ca Phe 85ml/1 Que,QUE,102,1,,Display,20210114194759,
107743,8801104122528,ENCHO BAR Kem So Co La 85ml/ 1 Que,QUE,102,1,,Display,20210114194759,
107779,8801104190718,ICE SANDWICH Kem Dau Do 150ml/1 Goi,GOI,200,1,,Display,20210114194759,
107781,8801104170116,ICE SANDWICH Kem Vani So Co La 150ml/1 Goi,GOI,102,1,,Display,20210114194759,                    
107793,8801104122504,MELONA Kem Dua Luoi 80ml/1 Que,QUE,150,1,,Display,20210114194759,
107810,8801104900034,MELONA Kem Dau 80ml/1 Que,QUE,150,1,,Display,20210114194759,
108034,8851932115896,CORNETTO Kem Dau Hanh Nhan 88g/1 Cay,CAY,150,1,,Display,20210114194759,
108072,8851932028103,CORNETTO Kem Vani Classic 66g/1 Cay,CAY,150,1,,Display,20210114194759,
108199,3415581139181,HAAGEN DAZS Kem Hat Macadamia 100ml/1 Hop,HOP,150,1,,Display,20210114194759,
108656,8851932030618,WALL'S Kem So Co La 55g/1 Hop,HOP,150,1,,Display,20210114194759,
108670,8851932126366,WALL'S Kem So Co La Vun 53g/1 Hop,HOP,150,1,,Display,20210114194759,
108929,8851932074025,WALL'S Kem Vani 90ml/1 Hop,HOP,150,1,,Display,20210114194759,
109026,8851932080149,TOP TEN Kem Vani 57g/1 Que,QUE,150,1,,Display,20210114194759,
153552,8851932275606,CORNETTO Kem Black White 66g/1 Cay,CAY,150,1,,Display,20210114194759,
153560,8851932145329,TOP TEN Kem So Co La 57g/1 Que,QUE,150,1,,Display,20210114194759,
158308,8851932115919,CORNETTO Kem Roy Chocoluv 88g/1 Cay,CAY,150,1,,Display,20210114194759,
161644,769828111014,PONGTA Kem Soda 128ml/1 Que,QUE,150,1,,Display,20210114194759,
