Itemcode,Barcode,ItemName,Unit,PhysicalCount,Converted,Region,CountingTime
166432,8935217413003,TH TRUE MILK Sua Chua Co Duong 100g*1BO,HOP,200,1,Display,20200930194759,
100317,8935217413003,TH TRUE MILK Sua Chua Co Duong 100g*1BO,HOP,120,1,Backroom,20200930194811,
166432,8935217413003,TH TRUE MILK Sua Chua Co Duong 100g*1BO,HOP,30,1,Bad Merchandise,20200930195011,
177598,8935217413201,TH TRUE MILK Sua Chua Nha Dam 100g*1BO,HOP,224,1,Display,20200930194806,
177598,8935217413201,TH TRUE MILK Sua Chua Nha Dam 100g*1BO,HOP,115,1,Display,20200930194815,
1111,8935217403370,1112,BAR,1100,1,Not Yet Receiving,20200930194835,
301394,8936134320214,THAIFRUITZ Cam Thai Say 30g/1 Goi,GOI,6,1,Display,20210317111414,
,8934822132330,tigers ` thung,THUNG,6,24,Display,20210317110337,
,8934822813338,tigeer x\ bac,THUNG,2,24,Display,20210317110448,
,726893113107,one , bcs,CAI,3,1,Display,20210317111104,
,726893113114,one;bcs,CAI,3,1,Display,20210317111207,
,6924187839977,chacheer'h,BICH,14,1,Display,20210317111709,
,8935090910842,dan d pak.,BICH,14,1,Display,20210317111843,
,8938507179245,muc rim me,HOP,4,1,Display,20210317112020,
,8936079121020,lay  \,BICH,6,1,Display,20210317112139,
