Item Code	Item Name	BarCode	Unit	Converter
107731	CAFÉ AULAIT Kem Ca Phe 85ml/1 Que	107731	QUE	1
107731	CAFÉ AULAIT Kem Ca Phe 85ml/1 Que	8801104123167	QUE	1
107743	ENCHO BAR Kem So Co La 85ml/ 1 Que	107743	QUE	1
107743	ENCHO BAR Kem So Co La 85ml/ 1 Que	8801104122528	QUE	1
107779	ICE SANDWICH Kem Dau Do 150ml/1 Goi	107779	GOI	1
107779	ICE SANDWICH Kem Dau Do 150ml/1 Goi	8801104190718	GOI	1
107781	ICE SANDWICH Kem Vani So Co La 150ml/1 Goi	107781	GOI	1
107781	ICE SANDWICH Kem Vani So Co La 150ml/1 Goi	8801104170116	GOI	1
107781	ICE SANDWICH Kem Vani So Co La 150ml/1 Goi	8801104170123	GOI	1
107793	MELONA Kem Dua Luoi 80ml/1 Que	107793	QUE	1
107793	MELONA Kem Dua Luoi 80ml/1 Que	12130032	QUE	1
107793	MELONA Kem Dua Luoi 80ml/1 Que	769828120023	QUE	1
107793	MELONA Kem Dua Luoi 80ml/1 Que	8801104122504	QUE	1
107793	MELONA Kem Dua Luoi 80ml/1 Que	8801104123471	QUE	1
107808	MELONA Kem Chuoi 80ml/1 Que	107808	QUE	1
107808	MELONA Kem Chuoi 80ml/1 Que	8801104900072	QUE	1
107810	MELONA Kem Dau 80ml/1 Que	107810	QUE	1
107810	MELONA Kem Dau 80ml/1 Que	2900011078105	QUE	1
107810	MELONA Kem Dau 80ml/1 Que	769828120412	QUE	1
107810	MELONA Kem Dau 80ml/1 Que	8801104900034	QUE	1
107901	CLEDOR Kem Dau Hon Hop 90g/ 1 Que	107901	QUE	1
107901	CLEDOR Kem Dau Hon Hop 90g/ 1 Que	8801104172059	QUE	1
107913	CLEDOR Kem Banh Nuong 150ml/1 Cay	107913	CAY	1
107913	CLEDOR Kem Banh Nuong 150ml/1 Cay	8801104174008	CAY	1
108034	CORNETTO Kem Dau Hanh Nhan 88g/1 Cay	108034	CAY	1
108034	CORNETTO Kem Dau Hanh Nhan 88g/1 Cay	18851932113905	CAY	1
108034	CORNETTO Kem Dau Hanh Nhan 88g/1 Cay	8851932115896	CAY	1
108072	CORNETTO Kem Vani Classic 66g/1 Cay	108072	CAY	1
108072	CORNETTO Kem Vani Classic 66g/1 Cay	18851932028100	CAY	1
108072	CORNETTO Kem Vani Classic 66g/1 Cay	8851932028103	CAY	1
108113	HAAGEN DAZS Kem So Co La Bi 100ml/1 Hop	108113	HOP	1
108113	HAAGEN DAZS Kem So Co La Bi 100ml/1 Hop	3415581533187	HOP	1
108137	HAAGEN DAZS Kem Ca Phe 100ml/1 Hop	074570032020	HOP	1
108137	HAAGEN DAZS Kem Ca Phe 100ml/1 Hop	108137	HOP	1
108163	HAAGEN DAZS Kem Banh Quy Kem 100ml/1 Hop	074570052028	HOP	1
108163	HAAGEN DAZS Kem Banh Quy Kem 100ml/1 Hop	108163	HOP	1
108175	HAAGEN DAZS Kem Banh Quy Kem 473ml/1 Hop	074570052059	HOP	1
108175	HAAGEN DAZS Kem Banh Quy Kem 473ml/1 Hop	108175	HOP	1
108199	HAAGEN DAZS Kem Hat Macadamia 100ml/1 Hop	108199	HOP	1
108199	HAAGEN DAZS Kem Hat Macadamia 100ml/1 Hop	3415581139181	HOP	1
108204	HAAGEN DAZS Kem Dau 100ml/1 Hop	074570022021	HOP	1
108204	HAAGEN DAZS Kem Dau 100ml/1 Hop	108204	HOP	1
108204	HAAGEN DAZS Kem Dau 100ml/1 Hop	74570022021	HOP	1
108230	HAAGEN DAZS Kem Vani 100ml/1 Hop	074570002023	HOP	1
108230	HAAGEN DAZS Kem Vani 100ml/1 Hop	108230	HOP	1
108230	HAAGEN DAZS Kem Vani 100ml/1 Hop	74570002023	HOP	1
108242	HAAGEN DAZS Kem Vani 473ml/1 Hop	074570002054	HOP	1
108242	HAAGEN DAZS Kem Vani 473ml/1 Hop	108242	HOP	1
108266	HAAGEN DAZS Kem Hat Macadamia 473ml/1 Hop	108266	HOP	1
108266	HAAGEN DAZS Kem Hat Macadamia 473ml/1 Hop	3415581119183	HOP	1
108266	HAAGEN DAZS Kem Hat Macadamia 473ml/1 Hop	3415581122183	HOP	1
108656	WALL'S Kem So Co La 55g/1 Hop	108656	HOP	1
108656	WALL'S Kem So Co La 55g/1 Hop	8851932030618	HOP	1
108670	WALL'S Kem So Co La Vun 53g/1 Hop	108670	HOP	1
108670	WALL'S Kem So Co La Vun 53g/1 Hop	8851932126366	HOP	1
108929	WALL'S Kem Vani 90ml/1 Hop	108929	HOP	1
108929	WALL'S Kem Vani 90ml/1 Hop	8851932074025	HOP	1
109026	TOP TEN Kem Vani 57g/1 Que	109026	QUE	1
109026	TOP TEN Kem Vani 57g/1 Que	18851932080146	QUE	1
109026	TOP TEN Kem Vani 57g/1 Que	8851932080149	QUE	1
123474	ACNES Giay Tham Dau 100 to/1 Goi	123474	GOI	1
123474	ACNES Giay Tham Dau 100 to/1 Goi	8935006531048	GOI	1
123486	ACNES Kem Rua Mat Ngua Mun 100g/1 Tuyp	123486	TUYP	1
123486	ACNES Kem Rua Mat Ngua Mun 100g/1 Tuyp	8935006530966	TUYP	1
123498	ACNES Kem Rua Mat Vitamin 100g/1 Tuyp	123498	TUYP	1
123498	ACNES Kem Rua Mat Vitamin 100g/1 Tuyp	8935006532663	TUYP	1
123682	CLEAR MEN Dau Goi Bac Ha 170g/1 Chai	123682	CHAI	1
123682	CLEAR MEN Dau Goi Bac Ha 170g/1 Chai	4902430508056	CHAI	1
123682	CLEAR MEN Dau Goi Bac Ha 170g/1 Chai	8934868046004	CHAI	1
123682	CLEAR MEN Dau Goi Bac Ha 170g/1 Chai	8934868052005	CHAI	1
123682	CLEAR MEN Dau Goi Bac Ha 170g/1 Chai	8934868074137	CHAI	1
123682	CLEAR MEN Dau Goi Bac Ha 170g/1 Chai	8934868090373	CHAI	1
123682	CLEAR MEN Dau Goi Bac Ha 170g/1 Chai	8934868098959	CHAI	1
123682	CLEAR MEN Dau Goi Bac Ha 170g/1 Chai	8934868100959	CHAI	1
123682	CLEAR MEN Dau Goi Bac Ha 170g/1 Chai	8934868103424	CHAI	1
123682	CLEAR MEN Dau Goi Bac Ha 170g/1 Chai	8934868132707	CHAI	1
123682	CLEAR MEN Dau Goi Bac Ha 170g/1 Chai	8934868152514	CHAI	1
123711	COLGATE Ban Chai Danh Rang 360 Do Deep Clean/1 Cay	123711	CAY	1
123711	COLGATE Ban Chai Danh Rang 360 Do Deep Clean/1 Cay	8935102112837	CAY	1
123711	COLGATE Ban Chai Danh Rang 360 Do Deep Clean/1 Cay	8935102112851	CAY	1
123711	COLGATE Ban Chai Danh Rang 360 Do Deep Clean/1 Cay	8935102113124	CAY	1
123711	COLGATE Ban Chai Danh Rang 360 Do Deep Clean/1 Cay	8935102113384	CAY	1
123711	COLGATE Ban Chai Danh Rang 360 Do Deep Clean/1 Cay	8935102113445	CAY	1
123711	COLGATE Ban Chai Danh Rang 360 Do Deep Clean/1 Cay	8935102113889	CAY	1
123864	DENTAL MASTER Tam Chi 20pcs/1Goi	123864	GOI	1
123864	DENTAL MASTER Tam Chi 20pcs/1Goi	4983435173210	GOI	1
123890	DOVE Dau Goi Phuc Hoi Hu Ton 170g/1 Chai	123890	CHAI	1
123890	DOVE Dau Goi Phuc Hoi Hu Ton 170g/1 Chai	8934868026709	CHAI	1
123890	DOVE Dau Goi Phuc Hoi Hu Ton 170g/1 Chai	8934868043430	CHAI	1
123890	DOVE Dau Goi Phuc Hoi Hu Ton 170g/1 Chai	8934868061168	CHAI	1
123890	DOVE Dau Goi Phuc Hoi Hu Ton 170g/1 Chai	8934868082460	CHAI	1
123890	DOVE Dau Goi Phuc Hoi Hu Ton 170g/1 Chai	8934868088035	CHAI	1
123890	DOVE Dau Goi Phuc Hoi Hu Ton 170g/1 Chai	8934868113379	CHAI	1
123917	DOVE Dau Xa Phuc Hoi Hu Ton 170G/1 Chai	123917	CHAI	1
123917	DOVE Dau Xa Phuc Hoi Hu Ton 170G/1 Chai	8934868026785	CHAI	1
123917	DOVE Dau Xa Phuc Hoi Hu Ton 170G/1 Chai	8934868043393	CHAI	1
123917	DOVE Dau Xa Phuc Hoi Hu Ton 170G/1 Chai	8934868082309	CHAI	1
123917	DOVE Dau Xa Phuc Hoi Hu Ton 170G/1 Chai	8934868087793	CHAI	1
123917	DOVE Dau Xa Phuc Hoi Hu Ton 170G/1 Chai	8934868113256	CHAI	1
123917	DOVE Dau Xa Phuc Hoi Hu Ton 170G/1 Chai	8934868146803	CHAI	1
123931	DOVE Sua Tam Duong Am Sau 180g/1Chai	123931	CHAI	1
123931	DOVE Sua Tam Duong Am Sau 180g/1Chai	8934868018230	CHAI	1
123931	DOVE Sua Tam Duong Am Sau 180g/1Chai	8934868018254	CHAI	1
123931	DOVE Sua Tam Duong Am Sau 180g/1Chai	8934868072430	CHAI	1
123931	DOVE Sua Tam Duong Am Sau 180g/1Chai	8934868072539	CHAI	1
123931	DOVE Sua Tam Duong Am Sau 180g/1Chai	8934868114376	CHAI	1
123979	DUREX Bao Cao Su King Tex 3 Cai/1 Hop	123979	HOP	1
123979	DUREX Bao Cao Su King Tex 3 Cai/1 Hop	5038483151648	HOP	1
123993	DUREX Bao Cao Su Performa 3 Cai/1 Hop	123993	HOP	1
123993	DUREX Bao Cao Su Performa 3 Cai/1 Hop	5010232955233	HOP	1
124014	DUREX Bao Cao Su Pleasure max 3 Cai/1 Hop	124014	HOP	1
124014	DUREX Bao Cao Su Pleasure max 3 Cai/1 Hop	5038483234198	HOP	1
124052	DUREX Bao Cao Su Fetherlite 12 Cai/1 Hop	124052	HOP	1
124052	DUREX Bao Cao Su Fetherlite 12 Cai/1 Hop	8850163100107	HOP	1
124064	DUREX Bao Cao Su Fetherlite 3 Cai/1 Hop	124064	HOP	1
124064	DUREX Bao Cao Su Fetherlite 3 Cai/1 Hop	8850163000100	HOP	1
124076	DUREX Bao Cao Su Fetherlite Ultima 12 Cai/1 Hop	124076	HOP	1
124076	DUREX Bao Cao Su Fetherlite Ultima 12 Cai/1 Hop	5038483492871	HOP	1
124088	DUREX Bao Cao Su Fetherlite Ultima 3 Cai/1 Hop	124088	HOP	1
124088	DUREX Bao Cao Su Fetherlite Ultima 3 Cai/1 Hop	5038483492901	HOP	1
124090	DUREX Play Gel Boi Tron 100ml/1 Chai	124090	CHAI	1
124090	DUREX Play Gel Boi Tron 100ml/1 Chai	5038483166529	CHAI	1
124105	DUREX Gel Boi Tron Play Lubricant 50ml/1 Chai	124105	CHAI	1
124105	DUREX Gel Boi Tron Play Lubricant 50ml/1 Chai	8850163900011	CHAI	1
124117	EASY CLEAN Tam Nhua SS 60pcs/1Goi	124117	GOI	1
124117	EASY CLEAN Tam Nhua SS 60pcs/1Goi	4983435790608	GOI	1
124179	GILLETTE Dao Cao Can Vang 2pcs/1Goi	124179	GOI	1
124179	GILLETTE Dao Cao Can Vang 2pcs/1Goi	7702018965199	GOI	1
124179	GILLETTE Dao Cao Can Vang 2pcs/1Goi	8992765301008	GOI	1
124210	GILLETTE Dao Cao Rau Vector Plus 1pcs/1Cay	124210	CAY	1
124210	GILLETTE Dao Cao Rau Vector Plus 1pcs/1Cay	8888826016175	CAY	1
124234	GILLETTE Luoi Dao Cao Vector 2S/1Vi	124234	VI	1
124234	GILLETTE Luoi Dao Cao Vector 2S/1Vi	20241186	VI	1
124234	GILLETTE Luoi Dao Cao Vector 2S/1Vi	20715700	VI	1
124234	GILLETTE Luoi Dao Cao Vector 2S/1Vi	8888826016182	VI	1
124272	GREEN CROSS Gel Rua Tay DK Cam 100ml/1Chai	124272	CHAI	1
124272	GREEN CROSS Gel Rua Tay DK Cam 100ml/1Chai	8936027441163	CHAI	1
124296	HEAD&SHOULDERS Dau Goi Bac Ha Mat Lanh 173ml/1 Chai	124296	CHAI	1
124296	HEAD&SHOULDERS Dau Goi Bac Ha Mat Lanh 173ml/1 Chai	49024300375825	CHAI	1
124296	HEAD&SHOULDERS Dau Goi Bac Ha Mat Lanh 173ml/1 Chai	4902430362849	CHAI	1
124296	HEAD&SHOULDERS Dau Goi Bac Ha Mat Lanh 173ml/1 Chai	4902430375825	CHAI	1
124363	HELEN HARPER Bong Tay Trang 80M/1 Goi	124363	GOI	1
124363	HELEN HARPER Bong Tay Trang 80M/1 Goi	5411416820024	GOI	1
124430	JOHNSONS Dau Em Be 200ml/1 Chai	124430	CHAI	1
124430	JOHNSONS Dau Em Be 200ml/1 Chai	8850007060321	CHAI	1
124466	JOHNSON ST Em Be TopToToe 100ml/1Chai	124466	CHAI	1
124466	JOHNSON ST Em Be TopToToe 100ml/1Chai	9556006012086	CHAI	1
124478	JORDAN Ban Chai Danh Rang Click Sensitive/1 Cay	124478	CAY	1
124478	JORDAN Ban Chai Danh Rang Click Sensitive/1 Cay	9555019001216	CAY	1
124519	KOTEX Style Bang Ve Sinh Canh 8pcs/1Goi	124519	GOI	1
124519	KOTEX Style Bang Ve Sinh Canh 8pcs/1Goi	8888336000312	GOI	1
124519	KOTEX Style Bang Ve Sinh Canh 8pcs/1Goi	8888336008929	GOI	1
124521	KOTEX Style Bang Ve Sinh Sieu Mong Canh 8pcs/1Goi	124521	GOI	1
124521	KOTEX Style Bang Ve Sinh Sieu Mong Canh 8pcs/1Goi	8888336000381	GOI	1
124521	KOTEX Style Bang Ve Sinh Sieu Mong Canh 8pcs/1Goi	8888336008936	GOI	1
